row_index,anomaly_score
84,0.004611197340878781
3,0.0030733468960545407
115,0.0027849238227185547
90,0.0008769770719440628
106,4.312082789714733e-05
67,-0.00010557168209307521
21,-0.00013073306779193272
6,-0.0008218823577390011
71,-0.0008469621345161271
63,-0.0014747585014008302
126,-0.0018062975931541492
93,-0.0018664042190478791
100,-0.0022285307421042733
114,-0.002335579591654424
74,-0.0024194418531682804
121,-0.002529472893282425
130,-0.002750280606093891
104,-0.0029342689968197555
57,-0.0029645133816163516
81,-0.0034652261759408054
127,-0.0035763896843298837
123,-0.0036108775234718338
91,-0.0037234952715664016
140,-0.00390108065442496
69,-0.003927393097121312
12,-0.003939983323108742
23,-0.003978140445319078
28,-0.00418193957212093
78,-0.0043682815820094145
30,-0.00449087560160949
8,-0.0046649574342301214
56,-0.004917661384642336
27,-0.005249009546729355
139,-0.005304510877347457
95,-0.005315557011853267
109,-0.005363872150762672
102,-0.005380117987439315
31,-0.005381968555651595
125,-0.005495699983871782
41,-0.0057056870307855
58,-0.005743044847616174
129,-0.005743155258115806
77,-0.005807494160734561
17,-0.005904300482485303
133,-0.0059623210344944555
113,-0.005996725651404078
89,-0.006118248524485725
105,-0.0062713690383128795
79,-0.0064140973265983114
1,-0.006683821534421597
